problem_id,theorem_name,canonical_goal,hash_plain,hash_turnstile
"Erdos_1","erdos_1","∃ C > (0 : ℝ), ∀ (N : ℕ) (A : Finset ℕ) (_ : IsSumDistinctSet A N), N ≠ 0 → C * 2 ^ A.card < N","20d43a6dc59f2ec046972824fccd6bd8b6091b12db64f01938e99ce0f816122b","de28f7bad02399b9211e0c9e906ddc4cb4467bba998e38b51782fa8f181080cd"
"Erdos_10","erdos_10","answer(sorry) ↔ ∃ k, sumPrimeAndTwoPows k = Set.univ \ {0, 1}","602901fd2a1215b53b8c1245508179b4734dbb160d1002d0fa04b31d6b7228af","d8e422ae1c16eef5db5beb2beb10e5ccddaa950600074f5b74d9464604f4fe68"
"Erdos_107","erdos_107","answer(sorry) ↔ ∀ n ≥ 3, f n = 2^(n - 2) + 1","4695d3881159e47fbb6eda105c0bcc0307719670500f1a92f13d0ccff5bb78e3","599b2c449eeda35f928deadcb7d0f0f09aac4f2ea04101f742bd6d2da03c9d47"
"Erdos_1077","erdos_1077","answer(False) ↔ ∀ ε > (0 : ℝ), ε < 1 → ∀ α > (0 : ℝ), α < 1 → ∀ᶠ D in atTop, ∀ᶠ n in atTop, ∀ G : SimpleGraph (Fin n), G.edgeSet.ncard > (n : ℝ) ^ (1 + α) → ∃ (H : Subgraph G), letI m := H.verts.ncard IsBalanced H.coe D ∧ m > (n : ℝ) ^ (1 - α) ∧ H.edgeSet.ncard > ε * m ^ (1 + α)","c95106d3849aaf69f37365a3a333f1416b069725773b85af972301cda85b77e0","41a9b0e4bab3be2558d3074551d7bd93baaa24bc079d998cbb8aeb4d84df6afa"
"Erdos_1175","erdos_1175","answer(sorry) ↔ ∀ (κ : Cardinal), ℵ₀ < κ → ∃ (μ : Cardinal), ∀ (V : Type*) (G : SimpleGraph V), G.chromaticCardinal = μ → ∃ (H : G.Subgraph), H.coe.CliqueFree 3 ∧ H.coe.chromaticCardinal = κ","4806dbb57c20802502576e2803325f0ce1074787b2321fad2230881c8496fd8d","bfe580fa10d153343691e6c2a32e06c49386638c4855b094705f0567220d668c"
"Erdos_1199","erdos_1199","answer(sorry) ↔ ∀ (color : ℕ → Fin 2), ∃ (A : Set ℕ), A.Infinite ∧ ∀ n ∈ (A+A), ∀ m ∈ (A+A), color n = color m","2354d0b9e2b5fa2d2064961173890042c3dc5d313daac14d15a423354e4b921f","e4cbb43705b3ee3d46ae88cfd8b9a09dded1d29c185062d33df5e402d08e6052"
"Erdos_120","erdos_120","answer(sorry) ↔ ∀ A : Set ℝ, A.Infinite → Erdos120For A","bbae13d871006b7724f1b5386a1ba09c4235a9dd1e7eaaaa10eb79affaa07fbd","6fd20ae3adc38edb518685f5b0e9fecdfcc037ba51b0e87b7b6fa5ae8f651745"
"Erdos_13","erdos_13","∃ C : ℝ, ∀ N : ℕ, ∀ A ⊆ Icc 1 N, IsForbiddenTripleFree A → (A.card : ℝ) ≤ (N : ℝ) / 3 + C","a456f2ec3fe2873dd8d9400f54c2c621ffb6befa2bf63f0d00374b789d6e516e","59aee94b27b0344a72191bb4361fe8b417c498a15236785a511ab96e8569ab4a"
"Erdos_141","first_three_odd_primes","({3, 5, 7} : Set ℕ).IsPrimeProgressionOfLength 3","5f0bf96d65574757d1f99ad7e1ae36fc153eb4860c84445a20c1fe41153f09fc","afc11fd17f246154067044b86efc3c35a2f1131781cb139635ffba225ff31acd"
"Erdos_158","erdos_158","answer(sorry) ↔ ∀ A : Set ℕ, A.Infinite → B2 2 A → liminf (fun N : ℕ => (A ∩ .Iio N).ncard * (N : ℝ) ^ (- 1 / 2 : ℝ)) atTop = 0","6ae06f6be8ddce96424912ed4ff1d442ea158f3e70c8e51aa415f5b242ab7ffe","ca44baf7062791279dcdb9ef620ae09686bb158e7101351b18b8066cf5cdb833"
"Erdos_184","erdos_184","∃ f : ℕ → ℝ, (f =O[atTop] fun n : ℕ ↦ (n : ℝ)) ∧ ∀ {V : Type*} [Fintype V] [DecidableEq V] (G : SimpleGraph V), ∃ (D : Finset G.Subgraph), (∀ H ∈ D, IsCycleOrEdge H.coe) ∧ IsDecomposition G D ∧ (D.card : ℝ) ≤ f (Fintype.card V)","1a3636362901b3a8cbee6bb7d71728bcf5d61cd54a90dea803f1a0faffff61b9","fcba928a132e751a04f0fb8c2cc40689947694a90f92f5a7c67fd4c8e143692c"
"Erdos_188","erdos_188","IsLeast s answer(sorry)","1875559b0353c2a6cae74b9c4caa8ef76a3ee857bc8dec77f8af08db2f2dcfc7","ee5a09758498a7f2c80fdb6e95bd0c7a47543d3e1577fdff1783c521a77ede21"
"Erdos_193","erdos_193","answer(sorry) ↔ ∀ S : Set (Fin 3 → ℤ), S.Finite → /- The statement's $A = \lbrace a_1, a_2, \ldots \rbrace$ is an infinite set. If the sequence only takes finitely many values, one value has to repeat infinitely many times, which would yield a trivial collinear triple (x, x, x). In this case, the conjecture would hold for degenerate S-walks. Another case is constant S-walks, which would render the conjecture trivially false (finite loop ranges have no 3 distinct points). Assuming the authors intend to stay away from these degenerate cases, we formalize this by requiring an infinite range (and require distinct points). -/ ∀ a : ℕ → Fin 3 → ℤ, IsSWalk S a → (range a).Infinite → HasCollinearTriple ℚ (range (fun n ↦ (↑) ∘ a n : ℕ → Fin 3 → ℚ))","26a03d395542597e062699f9e64d4b12818ff644446cbb740bbe26bc9357d57a","ce96686c5e083d0561db73eb4d9691c43ff83eb3a183a543a1115fe6a4c7fbec"
"Erdos_195","erdos_195","answer(sorry) = sSup {k : ℕ | ∀ f : ℤ ≃ ℤ, HasMonotoneAP f k}","a9f90fe7020b1cec042a34aed1fc553cfffe579c284495c8d1c3b4d264a717d0","fdfcc07b412bf50a6aa5b9621693b5788cbcc72dc1a465df6e423a99d65dba5c"
"Erdos_200","erdos_200","answer(sorry) ↔ (fun n => (longestPrimeArithmeticProgressions n : ℝ)) =o[atTop] (fun n => log n)","b577e15190f8d876e45a74de839ab9487fb1a043a37ecb0a98d0f946fbb9949d","a486cdfa0f878fac22ac1688a2eaf31973bd0d6f777a42a75b8815d988c8f864"
"Erdos_213","erdos_213","answer(sorry) ↔ ∀ n : ℕ, n ≥ 4 → Erdos213For n","dd870bd01c51996d617ebc40019ac5f2103d52f53f272fbd15b58af16e811cfc","32cd41736b67188dae2f25f0ae7c82302bcedc311cfaf46272bc9ef77ca09540"
"Erdos_219","primeArithmeticProgression_3_5_7","{3, 5, 7} ∈ primeArithmeticProgressions","f7f68d1f35eb86854c6fb3a1ae861381d24adfe95c942f3079c58b12f9fa3b72","ccf5313c03732a31d0d1c433e3044dacbd4c9329204f3f81b6fb367c07ab77c0"
"Erdos_228","erdos_228","answer(True) ↔ ∃ (c₁ : ℝ) (c₂ : ℝ), ∀ᶠ n : ℕ in Filter.atTop, ∃ p : Polynomial ℂ, p.degree = n ∧ (∀ i ≤ n, p.coeff i = 1 ∨ p.coeff i = -1) ∧ ∀ z : ℂ, ‖z‖ = 1 → ( √n < c₁ * ‖p.eval z‖ ∧ ‖p.eval z‖ < c₂ * √n )","ea2a08dc8bb29e4286ac798ed804ec6a8a0caa4269b61587388324b4da5a3262","23f4412cf79bccc1e31cb8e1486cd894ef16b4933ccdd0dbf74bac07e2875231"
"Erdos_241","erdos_241","answer(sorry) ↔ (fun N ↦ (f N 3 : ℝ)) ~[atTop] (fun N ↦ (N : ℝ) ^ ((1 : ℝ) / 3))","631ff111dd5170d7cb289263b47661aa86aa1414d5d6647f5164f916b4817a0f","e2a3075416a38af8e2e9a33146492622a11cd96bce0c4daaf95ae812fbebb457"
"Erdos_245","erdos_245","answer(True) ↔ ∀ (A : Set ℕ), A.Infinite → atTop.Tendsto (fun N ↦ (A ∩ Icc 1 ⌊N⌋₊ |>.ncard : ℝ) / N) (𝓝 0) → 3 ≤ atTop.limsup fun N : ℝ ↦ ((A + A) ∩ Icc 1 ⌊N⌋₊ |>.ncard : EReal) / (A ∩ Icc 1 ⌊N⌋₊).ncard","70035bf0085cfbf1f733ea8b25759db7ce6911ebc8bd2afa99190364c0c94fd5","316bbf3116bd24d1b0f712524f717ad33a3447a47f352bd8eccc52bfcae3352f"
"Erdos_272","erdos_272","(fun N ↦ (maxArithInterCard N : ℝ)) ~[atTop] (answer(sorry) : ℕ → ℝ)","7dd275f4fe7f991f032e11f625881b792de821bdf41d68f5b1e2660c145be2b1","00d74360dbb5190d9936990025e0ba0f708e9586a91348a86d3bec788e88d879"
"Erdos_273","erdos_273","answer(sorry) ↔ ∃ c : StrictCoveringSystem ℤ, ∀ i, ∃ (p : ℕ), p.Prime ∧ 5 ≤ p ∧ c.moduli i = Ideal.span {↑(p - 1)}","3aabe4df69159a330589baa279b818eb2864b0cc6b227ecf398e54c519a44c44","cd65f5c0eb049a0dde827db4cdd4e7f544d5632a3a872c5c4fea338cb863debd"
"Erdos_285","erdos_285","answer(True) ↔ ∀ᵉ (f : ℕ → ℕ) (S : Set ℕ) (hS : S = {k | ∃ (n : Fin k.succ → ℕ), StrictMono n ∧ 0 ∉ Set.range n ∧ 1 = ∑ i, (1 : ℝ) / n i }) (h : ∀ k ∈ S, IsLeast { n (Fin.last k) | (n : Fin k.succ → ℕ) (_ : StrictMono n) (_ : 0 ∉ Set.range n) (_ : 1 = ∑ i, (1 : ℝ) / n i) } (f k)), ∃ (o : ℕ → ℝ) (_ : o =o[atTop] (1 : ℕ → ℝ)), ∀ k ∈ S, f k = (1 + o k) * rexp 1 / (rexp 1 - 1) * (k + 1)","6028ea9fb12568b93bfcd58ef183e24643931cb307445c360e2b8b2c8770a58d","a88b7562d3ca45cba1f0e12d5a440a923ee9966c9ac8363972d35c9e0dbeb30f"
"Erdos_295","erdos_295","answer(sorry) ↔ Filter.atTop.Tendsto (fun N => k N - (rexp 1 - 1)*N) Filter.atTop","29335283463272888d45a749330ae0d50d87b3cca093e3572659415f621f8728","8863631792b2cef616f21731d846ad14226720cf7fbd003438494a57bed7f3b4"
"Erdos_326","erdos_326","answer(sorry) ↔ ∀ (A : Set ℕ), A.IsAddBasisOfOrder 2 → ∃ (b : ℕ → ℕ), StrictMono b ∧ ∀ n, b n ∈ A ∧ (Set.range b).IsAddBasis ∧ ∀ (x : ℝ), ¬ Tendsto (fun n ↦ (b n : ℝ) / n ^ 2) atTop (𝓝 x)","2272f7647e036ca15e873ecf50820ab76fff78de4c2697821755bfbaa5e7f8ce","c3a76a459fac74c44f99c05fed886d5e5d968a6648785d53c5de4d7018b41674"
"Erdos_329","erdos_329","sSup {sidonUpperDensity A | (A : Set ℕ) (_ : IsSidon A)} = answer(sorry)","e6ea8d48688a16c1c7fc799ad63d64e2bdb93a2a31742f371694f3c0a099960a","5ae2bb559091fe5f272f81355002cd25a679014943d59a19ac11605a8cccbf2e"
"Erdos_340","greedySidon_go_singleton_two","(greedySidon.go {1} (by simp [IsSidon]) 2).val = 2","eb10fb7babb6c4602612dca342f227b7dc61ca3c93aa5f4146b66db93014a2ac","e68c3f9a6128d0edc190ddb1f08a63074c86d2ff3036dbed9af6fed067497b91"
"Erdos_358","f_id","f id = fun n ↦ #{d ∈ n.divisors | Odd d}","1fbb25577dc8db66f8ecae6edb6543f7aec55a26babc65c8e0b84c7242ae5a62","2f073516499d5ab1a63bbe698ba89a028ed3016b5969e9bde937f7c579da0593"
"Erdos_36","M_one","M 1 = 1","782d04613e4da8e1ed94d5c732d697630317533fdce7ad6257793b9134c92974","f4b5abdc00cb244a1bfb89304fca6fd2636939774f55e1116c45303687a166a4"
"Erdos_501","erdos_501","answer(sorry) ↔ ∀ (A : ℝ → Set ℝ), (∀ x, Bornology.IsBounded (A x)) → (∀ x, volume.toOuterMeasure (A x) < 1) → ∃ X : Set ℝ, X.Infinite ∧ X.Pairwise (fun x y => x ∉ A y)","e30ab0dbcec0a6e3ae55908fcd191bd82334a6c646e39d19527fcae7cd687997","8174b493c7d728550db1dc8c56e14cfb49a3662ee869c62ae302024ce6f44960"
"Erdos_508","HadwigerNelsonProblem","χ(ℝ²) = answer(sorry)","b645950a834348adaa525bd8a21319591d8c817742ad757785c03d0b08f5e34c","09d33c6b55be61672f98a32d7e27c4bf504bad53bdd5503fd44e210ba059f857"
"Erdos_509","erdos_509","answer(sorry) ↔ ∀ (f : ℂ[X]), f.Monic → f.natDegree ≠ 0 → ∃ (ι : Type), Nonempty (BoundedDiscCover {z | ‖f.eval z‖ ≤ 1} 2 ι)","e734f9c7de1607d45fdf53ae956a9d5fade90a2f348c6cd1372061bace97b91a","d59821a0d21062ee4eec33923795b7b73d504e895ef6c422b5930afcf844b5b9"
"Erdos_535","erdos_535","∀ r ≥ 3, ∃ c > (0 : ℝ), ∀ᶠ (N : ℕ) in atTop, (f r N : ℝ) ≤ (N : ℝ) ^ (c / log (log (N : ℝ)))","0d6557d045542974f9cde66d5f14385b7bcbb8eb7a0ee7959d2e04d91462012e","fb3f28027bf696d9b7e7fff5e0903fe3993ab2424b1a98663398ba1dcbea4395"
"Erdos_539","erdos_539","(fun n ↦ (cofactorThreshold n : ℝ)) =Θ[atTop] (answer(sorry) : ℕ → ℝ)","db4501aa68938e48568ccac1ec3e419883da8164a989f28096e19b9e2f165d45","d269137844d9d5cb6ae141e70b7ac3dd556563db5327d6ec92bce523d52c34e4"
"Erdos_593","erdos_593","answer(sorry) ↔ ∀ (W : Type) [Fintype W] (F : ThreeUniformHypergraph W), IsObligatory F ↔ F.IsTwoColorable","33155a2e6037fd9b6a2b6c5c26357e3b8e2805c08300453496d92c550c38f5c8","81ec349b84eb229a3100c3c466ce4327e2056814ef05692cafb2804e95d2d2c2"
"Erdos_595","erdos_595","answer(sorry) ↔ ∃ (V : Type*) (_ : Infinite V) (G : SimpleGraph V), G.CliqueFree 4 ∧ ¬IsCountableUnionOfTriangleFree G","424b8f9a65415bcc26d839786f69d8029fbfbe24c4ad891a4a14e05049450836","941568fc597dbf4431193e9908516a9921094288a3949645a6a5707963bc05b4"
"Erdos_61","erdos_61","answer(sorry) ↔ ∀ {α : Type*} [Fintype α] [DecidableEq α] (H : SimpleGraph α), ∃ c > (0 : ℝ), IsErdosHajnalLowerBound H (fun n : ℕ => (n : ℝ) ^ c)","8afa92b0b55d9f03d8fd8b3874a2b8db965635877e5a5748bc8166a28b710277","d6c101da1071e942413fc941eafe94e6645ae89486793d995ca3e19ac600dda4"
"Erdos_613","erdos_613","answer(False) ↔ ∀ n ≥ 3, ∀ (V : Type*) [Fintype V] (G : SimpleGraph V), [DecidableRel G.Adj] → G.edgeFinset.card = Nat.choose (2 * n + 1) 2 - Nat.choose n 2 - 1 → ∃ (B D : SimpleGraph V), [DecidableRel B.Adj] → [DecidableRel D.Adj] → G = B ⊔ D ∧ B.IsBipartite ∧ ∀ v, D.degree v < n","09b9a6d3454023803dc3222a3bb142ae64c9fd69fab0d8c3bf481d917c464eaa","0be211c353ea52ef8bbdbd1debe2463940e454513dd18d9fec723befa09c4ed4"
"Erdos_659","erdos_659","answer(True) ↔ ∃ A : ℕ → Finset ℝ², (∀ n, #(A n) = n ∧ ∀ S ⊆ A n, #S = 4 → 3 ≤ distinctDistances S) ∧ (fun n ↦ distinctDistances (A n)) ≪ fun n ↦ n / sqrt (log n)","7e3d5b436031395d2e5ecf385564ac9a38bbc451cbf784ae4a8ac8927c31f627","c8876debcd881be9ca2b29c385b1d6f7be9b492aaa391a25440e49190224152d"
"Erdos_705","erdos_705","answer(False) ↔ ∃ k, ∀ V : Set ℝ², V.Finite → (UnitDistancePlaneGraph V).girth ≥ k → (UnitDistancePlaneGraph V).chromaticNumber ≤ 3","506d5abba6d32bf234f65b454d7f46bd137e2e32000157c014bd68a8ea0ab21d","70d1e1704afd635d418d2bcb9cf024b41436158370ff53c9fcae868ecad66611"
"Erdos_723","erdos_723","answer(sorry) ↔ ∀ {P L : Type} (_: Membership P L) (_ : Fintype P) (_ : Fintype L), ∀ pp : ProjectivePlane P L, IsPrimePow pp.order","45dfafc98450e25bf4f1797ea5dd43e6f966904cd76b51e72ee462025f53b84b","3212ac5138a0817602635b673adf67a5256fd71b4b943cdedbeeb146ee07c803"
"Erdos_789","erdos_789","(fun n ↦ (subsetSumThreshold n : ℝ)) =Θ[atTop] (answer(sorry) : ℕ → ℝ)","7e5e8ce1af0bbc7740657950437731d1861f877569ef2ff6e3a7a329e6fd759d","822f1b1551d7addccb5a268af200e131155f38d96cb70688cb94141675eedcee"
"Erdos_817","erdos_817","answer(sorry) ↔ (fun n => (3 ^ n : ℝ)) =O[atTop] fun n => (g 3 n : ℝ)","3bf9b2ba173abe87966483088fe6f9883610d2147cd0c0f0e4fc5423e97e400e","fa6cd930b1834ca77f6bdafca038bdcb122b5e510b0446a9dc44e0cc37d1af08"
"Erdos_82","erdos_82","Tendsto (fun n => F n / Real.log n) atTop atTop","242be48fc66c6c3854280433693f0c63303220af3f77bbc6473cafe8de3223a4","9dee458d91c74c19a6806231f3491dfce758917d0e1b91f5db7853409e0ff301"
"Erdos_835","erdos_835","(∃ k > 2, Property k) ↔ answer(sorry)","95fed44b69bf7981f21faac2aa8a0a357ab494a720d1c4c9ae3d4e061d32434b","694c235078b96ae90a90d902bcb7e43fe7cf0796deaa3eefab288c3b655edae2"
"Erdos_865","erdos_865","∃ C > 0, ∀ᶠ (N : ℕ) in atTop, ∀ A ⊆ Icc 1 N, A.card ≥ (5 / 8 : ℝ) * N + C → ∃ a ∈ A, ∃ b ∈ A, ∃ c ∈ A, a ≠ b ∧ a ≠ c ∧ b ≠ c ∧ a + b ∈ A ∧ a + c ∈ A ∧ b + c ∈ A","30a9bbba6a76b0357ad34de492bed92962140642fc9ef43415631ce539597643","2441a28334f8e596035899d0e11f7c476167b4d06b3ba49c611fac5290d6ed30"
"Erdos_89","erdos_89","(fun (n : ℕ) => n/(n : ℝ).log.sqrt) =O[atTop] (fun n => (minimalDistinctDistances n : ℝ))","29f32f45a25ad000d0b23a0832ca368595cc405f5dd73af4bbe30bd7c39bafff","03b52e325354e445923782bb7ba02ce83cb19098afcd10e6e8fa34a1375957c2"
"Erdos_893","erdos_893","answer(sorry) ↔ Tendsto (fun n : ℕ => (f (2 * n) : ℝ) / (f n : ℝ)) atTop atTop","b5731a2e6bebf8593fe37942ddfe9cd613b6c7d70440793968efad0f60c49d18","9784d04734d75381646b71ecfbb6053f170f7ec1df4cab508526a06461e9744a"
"Erdos_899","erdos_899","answer(True) ↔ ∀ (A : Set ℕ), A.Infinite → Tendsto (fun N => (A ∩ Icc 1 N |>.ncard : ℝ) / N) atTop (𝓝 0) → atTop.limsup (fun N => ((A - A : Set ℕ) ∩ Icc 1 N |>.ncard : EReal) / (A ∩ Icc 1 N).ncard) = ⊤","dba26871a1387d41f4b5cc30baa80d951e0941d3603f549fdd55d8c79b6b7f39","b8fd3805f08ad8da16debcf0dbb12128b53a0982f6f7d59b4ce30fa59593bd0d"
"Erdos_9","erdos9A_contains_one","1 ∈ Erdos9A","f8c3861ef961dbbc0f58c27f54115e9f1e7b299787688042a0fb4ecbbfacf664","8af2fab33494ffefca28807d8058cd059e527bfca2215f07b65bca5ad800f849"
"Erdos_90","erdos_90","answer(False) ↔ ∃ (O : ℕ → ℝ) (hO : O =O[atTop] (fun n => 1 / (n : ℝ).log.log)), (fun n => (maxUnitDistances n : ℝ)) =ᶠ[atTop] fun (n : ℕ) => (n : ℝ) ^ (1 + O n)","836c9610566f3cec308ed0390d83f42896a2bd7f686e0c8061235b86913dc78b","3b7d4c0ba073e2b4e8d2525aee00c454b13d844d0d48a058db6db6f44e6f8b6d"
"Erdos_91","erdos_91","(∀ᶠ n : ℕ in atTop, ¬ UniqueMinimizer n) ↔ answer(sorry)","2db5ce08571b5b9f65659663c672a88fb930d717637fd2e81ff659f54c9e9da2","cb3cef9238af1aed48d14e6eae1dd2ae9caad51e7ff6e5e6da0b2f1f7bb37a34"
"Erdos_920","erdos_920","answer(sorry) ↔ ∀ k : ℕ, k ≥ 4 → ∃ c > 0, (fun n ↦ f k n) ≫ (fun n ↦ (n : ℝ) ^ (1 - 1 / ((k : ℝ) - 1)) / (log n) ^ c)","763b8c8761c27749eb3094f7e8e1872ffea984e6d24030bc76da14ae035c96d9","199816775c1cea989afa006338dcc3ad0e77b5ebb5d0940a90892adc823aef06"
"Erdos_97","erdos_97","answer(sorry) ↔ ∀ A : Finset ℝ², A.Nonempty → ConvexIndep A → ¬HasNEquidistantProperty 4 A","c8c072d422a221105a0293fd3f898f2f65008688853b647d4c0491d22beb25fa","87bf708587b76fa469f3a1f525ff91ab47cb23c6a4b0bf91d7a84fe764693eb7"
"Erdos_98","erdos_98","answer(sorry) ↔ Tendsto (fun n : ℕ ↦ ((h n : ℝ) / (n : ℝ))) atTop atTop","e541a4c64847c7c4654c5f81fd6674a6c944b41203952fe66298a5f98e4f540e","a971cf3cd462cffe6723f0b809d1b951fd123221d4adb523e246051b92f399b3"
